state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
405,west,f,high school or below,19834,65989,123,1.0,personal auto,suv,116
406,northeast,m,high school or below,4731,30686,61,0.0,corporate auto,four-door car,20
407,west,f,master,35538,37707,113,0.0,personal auto,sports car,800
408,central,f,high school or below,34611,20090,109,0.0,personal auto,sports car,523
409,west,m,high school or below,20216,37707,183,0.0,personal auto,luxury suv,878
410,northeast,m,college,13977,77094,176,0.0,personal auto,suv,444
411,west,f,college,5904,97413,73,0.0,personal auto,four-door car,269
412,northeast,f,master,5596,79189,69,0.0,corporate auto,four-door car,331
413,west,f,high school or below,2294,37707,62,0.0,personal auto,two-door car,298
414,central,f,college,6274,18577,86,0.0,personal auto,four-door car,413
415,northeast,f,college,3727,37707,112,1.0,special auto,sports car,806
416,east,m,high school or below,2657,62777,67,0.0,personal auto,two-door car,101
417,northeast,m,bachelor,5111,37707,74,0.0,corporate auto,four-door car,533
418,central,m,college,7127,17483,183,0.0,personal auto,luxury car,1318
419,northeast,m,master,4602,84394,114,0.0,personal auto,suv,691
420,northeast,m,college,9155,37707,127,0.0,personal auto,sports car,805
421,northeast,f,college,14808,41440,62,1.0,personal auto,four-door car,298
422,central,m,high school or below,8902,37707,136,1.0,personal auto,sports car,1091
423,northeast,f,college,5735,98132,71,0.0,personal auto,two-door car,51
424,northeast,f,high school or below,4178,37707,112,0.0,personal auto,four-door car,538
425,west,m,bachelor,27776,88220,230,0.0,personal auto,luxury car,152
426,central,f,master,10364,58327,129,0.0,personal auto,suv,347
427,northeast,m,master,7852,25950,66,0.0,personal auto,two-door car,272
428,northeast,m,high school or below,4773,20993,133,0.0,corporate auto,suv,638
429,northeast,m,high school or below,14227,65726,177,0.0,corporate auto,suv,850
430,east,m,bachelor,2875,84768,72,0.0,personal auto,two-door car,110
431,east,f,bachelor,5041,36234,63,0.0,personal auto,four-door car,114
432,west,m,college,4363,58842,110,0.0,personal auto,four-door car,528
433,northeast,f,master,9625,25629,124,2.0,corporate auto,sports car,595
434,east,f,college,21914,77311,181,0.0,personal auto,suv,114
435,west,m,doctor,6948,37707,196,2.0,personal auto,luxury suv,1337
436,east,m,high school or below,2472,95697,61,0.0,personal auto,two-door car,114
437,northeast,f,bachelor,21904,22254,79,0.0,personal auto,four-door car,125
438,central,m,high school or below,9029,65974,113,0.0,personal auto,sports car,235
439,northeast,f,college,5304,37707,76,0.0,personal auto,four-door car,395
440,east,m,high school or below,20708,92079,65,1.0,corporate auto,four-door car,115
441,central,m,high school or below,5124,37707,74,0.0,personal auto,two-door car,773
442,northeast,m,college,9492,37707,132,0.0,personal auto,suv,634
443,northeast,f,high school or below,8205,37707,73,0.0,personal auto,four-door car,350
444,central,f,college,9877,67752,131,4.0,personal auto,sports car,169
445,west,f,bachelor,4815,25398,64,0.0,corporate auto,four-door car,307
446,west,m,high school or below,6277,37707,88,0.0,personal auto,four-door car,634
447,west,m,high school or below,8261,33321,105,0.0,special auto,suv,504
448,central,m,bachelor,2549,37707,78,0.0,corporate auto,four-door car,846
449,east,u,college,11318,38923,99,2.0,personal auto,four-door car,116
450,northeast,f,bachelor,3804,20325,100,0.0,personal auto,sports car,668
451,northeast,m,bachelor,8635,13129,117,0.0,personal auto,suv,701
452,northeast,f,high school or below,5511,37707,73,0.0,personal auto,four-door car,526
453,central,m,master,3586,49080,91,0.0,corporate auto,four-door car,25
454,central,m,college,4889,42536,63,0.0,personal auto,four-door car,375
455,northeast,m,bachelor,2757,29926,74,0.0,corporate auto,four-door car,418
456,central,m,doctor,3290,37707,86,0.0,corporate auto,two-door car,398
457,west,f,bachelor,10937,21450,138,0.0,personal auto,sports car,939
458,west,m,high school or below,7376,33345,65,0.0,corporate auto,four-door car,339
459,west,f,bachelor,10111,15752,90,0.0,corporate auto,two-door car,339
460,northeast,f,high school or below,5119,40169,65,1.0,personal auto,four-door car,303
461,west,f,college,8534,26049,113,1.0,personal auto,suv,619
462,central,m,college,2225,37707,68,0.0,personal auto,four-door car,326
463,central,m,doctor,8043,55411,100,0.0,personal auto,sports car,260
464,northeast,m,college,2554,12459,70,0.0,personal auto,four-door car,336
465,northeast,m,bachelor,18074,64620,76,1.0,personal auto,two-door car,365
466,west,m,bachelor,2431,83140,61,0.0,corporate auto,four-door car,179
467,northeast,f,bachelor,3168,37707,92,0.0,corporate auto,four-door car,662
468,central,f,bachelor,5466,54422,68,0.0,corporate auto,four-door car,76
469,west,m,college,10358,68309,131,0.0,corporate auto,suv,307
470,west,m,high school or below,2538,56621,65,2.0,personal auto,four-door car,84
471,central,f,college,2822,38977,70,0.0,special auto,four-door car,139
472,central,m,bachelor,7757,37707,111,0.0,corporate auto,two-door car,607
473,central,m,high school or below,4079,37707,114,0.0,corporate auto,two-door car,631
474,central,f,college,5956,37707,83,0.0,personal auto,four-door car,628
475,northeast,f,bachelor,14159,83235,70,0.0,personal auto,two-door car,336
476,central,m,college,8487,37707,74,0.0,personal auto,two-door car,427
477,central,m,college,6285,32390,80,0.0,personal auto,four-door car,91
478,northeast,f,high school or below,11473,66538,95,0.0,personal auto,two-door car,318
479,east,f,college,4943,23285,65,0.0,personal auto,two-door car,118
480,northeast,m,bachelor,23595,76358,66,0.0,personal auto,four-door car,86
481,east,m,master,2573,21104,66,0.0,personal auto,four-door car,118
482,central,f,college,5381,55350,67,0.0,personal auto,four-door car,322
483,west,f,college,4771,12964,65,0.0,personal auto,two-door car,363
484,central,f,master,6757,33288,86,2.0,personal auto,four-door car,222
485,central,f,college,5936,37707,84,0.0,personal auto,four-door car,980
486,central,f,bachelor,3571,56168,88,0.0,personal auto,four-door car,615
487,west,m,college,6020,37707,92,0.0,personal auto,four-door car,662
488,northeast,m,high school or below,5427,23105,69,0.0,personal auto,two-door car,331
489,northeast,f,master,2730,36218,68,0.0,personal auto,four-door car,145
490,west,f,high school or below,4983,52275,62,0.0,corporate auto,four-door car,374
491,northeast,f,college,8769,49665,74,0.0,personal auto,four-door car,355
492,central,m,high school or below,4221,32471,110,0.0,personal auto,two-door car,528
493,central,m,high school or below,11538,37707,86,1.0,corporate auto,two-door car,619
494,west,f,master,5887,62773,73,0.0,personal auto,four-door car,81
495,west,f,college,4701,76694,117,0.0,personal auto,suv,562
496,northeast,m,high school or below,10964,55687,276,0.0,personal auto,luxury suv,1325
497,central,f,high school or below,2523,37707,70,0.0,personal auto,four-door car,504
498,central,m,doctor,3758,36633,96,1.0,personal auto,four-door car,461
499,northeast,m,high school or below,12942,77060,106,0.0,personal auto,suv,469
500,central,f,bachelor,3764,92600,94,0.0,corporate auto,two-door car,842
501,west,m,high school or below,6890,37707,66,0.0,personal auto,four-door car,475
502,central,m,college,3623,37707,111,2.0,corporate auto,suv,1172
503,central,m,college,7582,64801,64,0.0,personal auto,four-door car,268
504,northeast,f,college,8278,45257,103,0.0,corporate auto,two-door car,494
505,west,m,high school or below,2576,26854,66,0.0,personal auto,four-door car,475
506,northeast,f,college,8205,85840,102,2.0,corporate auto,suv,139
507,northeast,f,doctor,19582,26463,72,0.0,corporate auto,four-door car,346
508,central,f,bachelor,6482,30689,81,0.0,personal auto,four-door car,467
509,northeast,m,high school or below,2599,29590,66,0.0,corporate auto,two-door car,468
510,northeast,f,college,9830,25965,253,0.0,personal auto,luxury suv,1214
511,northeast,m,bachelor,10443,17269,139,0.0,personal auto,suv,667
512,northeast,m,college,36058,90330,137,3.0,corporate auto,sports car,192
513,west,f,high school or below,8470,37707,113,0.0,corporate auto,suv,620
514,west,f,high school or below,8279,37707,110,0.0,personal auto,four-door car,1003
515,west,f,high school or below,4789,37707,67,1.0,personal auto,two-door car,322
516,central,f,bachelor,3088,18558,80,0.0,special auto,four-door car,384
517,central,m,bachelor,4444,46384,113,0.0,corporate auto,four-door car,252
518,northeast,f,high school or below,7984,37707,72,0.0,personal auto,two-door car,866
519,northeast,f,college,7181,42303,180,0.0,personal auto,luxury suv,1211
520,west,f,bachelor,15656,71731,130,0.0,corporate auto,suv,600
521,northeast,m,high school or below,5780,51066,74,0.0,corporate auto,four-door car,788
522,west,m,college,20715,37707,203,0.0,corporate auto,luxury car,2028
523,central,f,bachelor,5337,37707,86,3.0,personal auto,four-door car,619
524,central,m,college,5051,37707,69,0.0,personal auto,two-door car,73
525,central,f,high school or below,5117,26173,68,1.0,corporate auto,four-door car,450
526,northeast,m,bachelor,7269,24445,63,0.0,personal auto,two-door car,302
527,northeast,m,college,2617,72302,66,0.0,personal auto,two-door car,317
528,northeast,m,high school or below,3738,27208,102,0.0,personal auto,suv,490
529,west,f,master,2725,36650,69,1.0,special auto,four-door car,57
530,central,m,college,5454,30855,68,0.0,corporate auto,four-door car,259
531,central,f,bachelor,6846,37707,95,0.0,personal auto,two-door car,456
532,northeast,m,master,6173,99960,76,0.0,corporate auto,four-door car,365
533,central,f,bachelor,10346,37707,98,0.0,personal auto,four-door car,470
534,central,f,bachelor,6997,55873,88,0.0,personal auto,four-door car,299
535,central,f,high school or below,4196,18052,111,0.0,personal auto,four-door car,699
536,northeast,f,high school or below,7858,28937,104,2.0,personal auto,suv,118
537,northeast,f,high school or below,6064,37707,86,0.0,personal auto,four-door car,545
538,west,m,college,17498,37707,73,0.0,personal auto,two-door car,350
539,northeast,m,doctor,8971,12829,118,0.0,personal auto,suv,328
540,northeast,f,master,5923,92163,73,0.0,personal auto,two-door car,67
541,northeast,m,high school or below,35851,17588,192,0.0,personal auto,luxury car,1382
542,east,f,bachelor,8710,41546,111,0.0,corporate auto,four-door car,121
543,central,m,college,13309,37707,127,0.0,personal auto,suv,610
544,west,m,high school or below,4529,70340,113,0.0,special auto,four-door car,542
545,northeast,f,high school or below,2792,37707,74,0.0,personal auto,four-door car,533
546,east,m,high school or below,4434,34549,111,0.0,personal auto,four-door car,126
547,central,m,college,7996,93459,99,0.0,personal auto,four-door car,655
548,central,m,bachelor,5130,86148,65,2.0,personal auto,four-door car,312
549,west,f,bachelor,5697,27048,72,0.0,corporate auto,four-door car,346
550,northeast,f,college,9217,73259,115,0.0,personal auto,suv,673
551,northeast,f,college,10209,35482,129,0.0,corporate auto,suv,619
552,northeast,f,master,4171,29462,107,1.0,personal auto,suv,514
553,northeast,f,college,4505,67801,115,1.0,personal auto,suv,24
554,west,m,high school or below,3108,37707,94,4.0,personal auto,two-door car,451
555,central,m,high school or below,5529,16042,73,0.0,personal auto,two-door car,350
556,west,m,high school or below,5046,28056,64,1.0,personal auto,four-door car,307
557,west,m,high school or below,2963,16495,85,3.0,corporate auto,four-door car,408
558,west,f,master,8666,41163,108,0.0,corporate auto,suv,232
559,central,f,college,11413,37707,161,1.0,personal auto,sports car,773
560,west,m,bachelor,15488,33799,109,3.0,corporate auto,suv,665
561,east,f,college,8861,90125,110,0.0,corporate auto,suv,129
562,northeast,f,bachelor,5935,87747,147,1.0,personal auto,suv,46
563,central,m,college,3543,35695,90,0.0,personal auto,four-door car,432
564,west,m,master,3490,90985,87,0.0,personal auto,four-door car,78
565,west,f,college,3683,37707,101,0.0,corporate auto,sports car,564
566,west,m,college,5990,66839,154,0.0,personal auto,sports car,739
567,west,f,high school or below,12501,37707,165,0.0,personal auto,suv,792
568,northeast,f,bachelor,8609,79090,107,0.0,corporate auto,suv,289
569,northeast,m,bachelor,2497,24825,64,0.0,personal auto,two-door car,156
570,west,m,college,7019,26806,63,0.0,personal auto,four-door car,302
571,northeast,f,college,5388,56835,67,0.0,personal auto,two-door car,327
572,northeast,f,bachelor,6166,37707,88,0.0,special auto,two-door car,654
573,west,m,bachelor,2730,46135,69,0.0,personal auto,four-door car,104
574,central,f,bachelor,5162,37707,73,0.0,personal auto,four-door car,810
575,northeast,f,high school or below,7937,22862,67,0.0,personal auto,two-door car,322
576,northeast,f,high school or below,8608,21450,110,2.0,personal auto,sports car,528
577,northeast,m,bachelor,2633,95854,65,0.0,personal auto,two-door car,312
578,northeast,f,bachelor,7785,44897,99,1.0,personal auto,four-door car,581
579,east,m,high school or below,21640,64455,108,0.0,personal auto,suv,134
580,northeast,f,master,4981,53265,62,0.0,personal auto,four-door car,238
581,central,f,high school or below,7457,37707,198,1.0,personal auto,luxury car,1578
582,east,m,master,10641,50450,90,0.0,personal auto,two-door car,136
583,west,f,high school or below,6863,54780,88,3.0,personal auto,four-door car,135
584,central,m,high school or below,9049,37707,119,0.0,personal auto,sports car,571
585,west,m,bachelor,5548,67798,69,0.0,personal auto,four-door car,331
586,northeast,m,bachelor,8313,21442,118,0.0,personal auto,suv,566
587,west,m,bachelor,2390,27615,62,1.0,personal auto,four-door car,298
588,west,m,bachelor,4458,17622,65,1.0,personal auto,four-door car,312
589,central,m,high school or below,5296,50200,135,0.0,personal auto,sports car,637
590,central,f,doctor,3840,37707,112,2.0,personal auto,suv,538
591,west,f,high school or below,3732,37707,96,0.0,personal auto,four-door car,461
592,west,f,master,2779,73570,70,1.0,special auto,two-door car,76
593,northeast,f,high school or below,4017,37707,111,0.0,personal auto,suv,799
594,east,m,doctor,4931,70412,61,0.0,corporate auto,two-door car,136
595,central,m,doctor,2491,36631,62,0.0,personal auto,four-door car,68
596,northeast,f,college,2909,35895,73,0.0,personal auto,four-door car,313
597,central,f,college,4283,40864,109,1.0,personal auto,suv,167
598,northeast,m,college,8342,37707,118,0.0,personal auto,four-door car,566
599,central,f,master,5091,93018,63,0.0,personal auto,four-door car,135
600,northeast,m,bachelor,7366,70014,62,0.0,corporate auto,four-door car,18
601,northeast,f,college,2437,48875,61,0.0,personal auto,two-door car,2
602,west,m,bachelor,8853,67969,74,0.0,personal auto,four-door car,198
603,northeast,f,high school or below,23875,37707,108,0.0,corporate auto,suv,612
604,northeast,f,doctor,5600,68665,69,0.0,personal auto,two-door car,331
605,west,m,college,4637,26802,66,1.0,corporate auto,two-door car,317
606,central,m,high school or below,7573,37707,110,0.0,corporate auto,four-door car,1193
607,west,m,college,14697,45345,125,0.0,personal auto,suv,600
608,east,m,bachelor,8972,89689,74,0.0,personal auto,four-door car,137
609,west,f,bachelor,7725,32051,193,1.0,personal auto,suv,926
610,northeast,m,master,5947,81139,74,0.0,special auto,four-door car,393
611,northeast,f,master,8001,63834,100,1.0,personal auto,sports car,215
612,central,m,bachelor,6458,37548,81,0.0,special auto,four-door car,161
